colony,street,street_number,postal_code,zone,directions,lat,lon
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,"JOSE LUIS MORA 1212, UNIDAD BELISARIO DOM, Guadalajara",20.6848539,-103.321828
LOS ALMENDROS,ANTONIO GARCIA,3912,44240,Guadalajara,"ANTONIO GARCIA 3912, LOS ALMENDROS, Guadalajara",20.71472097,-103.32988718
RESIDENCIAL LA CRUZ,ISLA ABACO,3086,44950,Guadalajara,"ISLA ABACO 3086, RESIDENCIAL LA CRUZ, Guadalajara",20.637418,-103.37829
INDEPENDENCIA PTE,ROGELIO BACON,1676,44290,Guadalajara,"ROGELIO BACON 1676, INDEPENDENCIA PTE, Guadalajara",20.7036,-103.3334499
SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,"MELQUIADES CAMP 2289, SANTA ROSA, Guadalajara",20.702616,-103.287933
LA AURORA,SALVADOR LOPEZ,1750,44790,Guadalajara,"SALVADOR LOPEZ 1750, LA AURORA, Guadalajara",20.6494585,-103.3388108
SAN VICENTE,MONTES MARCIANO,2173,44330,Guadalajara,"MONTES MARCIANO 2173, SAN VICENTE, Guadalajara",20.70378,-103.3159849
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,"JOSE JARAMILLO 526, MIRAVALLE, Guadalajara",20.6156665,-103.3528171
PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"FUNDICION 2131, PARQUE INDUST EL ALA, Guadalajara",20.6266889,-103.3338499
1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,"CARLOS A CARRIL 527, 1RO DE MAYO 1A SECCI, Guadalajara",20.6230026,-103.3552397
BALCONES DE OBLATOS,ROSA RODRIGUEZ,3876,44720,Guadalajara,"ROSA RODRIGUEZ 3876, BALCONES DE OBLATOS, Guadalajara",20.6952319,-103.2769238
LOMAS DE POLANCO,RAMON ALCORTA,1597,44960,Guadalajara,"RAMON ALCORTA 1597, LOMAS DE POLANCO, Guadalajara",20.6305508,-103.3684773
CIRCUNVAL VALLARTA,REFORMA,2749,44680,Guadalajara,"REFORMA 2749, CIRCUNVAL VALLARTA, Guadalajara",20.6804909,-103.3859638
JARDINES DE LA PAZ,TEJEDORES,569,44860,Guadalajara,"TEJEDORES 569, JARDINES DE LA PAZ, Guadalajara",20.647502,-103.3072318
SAN MARCOS,CANTERA,819,44330,Guadalajara,"CANTERA 819, SAN MARCOS, Guadalajara",20.696713,-103.315329
ELECTRICISTAS,RAMOS ARIZPE,451,44810,Guadalajara,"RAMOS ARIZPE 451, ELECTRICISTAS, Guadalajara",20.653829,-103.3106468
LADRON DE GUEVARA,FRAY LUIS DE PA,443,44600,Guadalajara,"FRAY LUIS DE PA 443, LADRON DE GUEVARA, Guadalajara",20.6842089,-103.379311
LA LOMA,LUIS PAEZ BROTC,1574,44410,Guadalajara,"LUIS PAEZ BROTC 1574, LA LOMA, Guadalajara",20.6603006,-103.3213277
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,"JUAN MANUEL RUV 1992, BENITO JUAREZ, Guadalajara",20.6786141,-103.361751
GENERAL REAL,PENSADOR MEXICA,1070,44400,Guadalajara,"PENSADOR MEXICA 1070, GENERAL REAL, Guadalajara",20.665364,-103.3312438
LOMAS DL PARAISO 1,RAFAEL CARDENAS,290,44250,Guadalajara,"RAFAEL CARDENAS 290, LOMAS DL PARAISO 1, Guadalajara",20.724967,-103.320318
DIVISION DEL NORTE,TERUEL,3693,44230,Guadalajara,"TERUEL 3693, DIVISION DEL NORTE, Guadalajara",20.721705,-103.3379679
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,"JOSE MARIA CANA 5128, RINCONADA DE HUENTITAN, Guadalajara",20.731589,-103.324636
JARDINES DE STA ISAB,STA MARTHA,3165,44300,Guadalajara,"STA MARTHA 3165, JARDINES DE STA ISAB, Guadalajara",20.714658,-103.313579
JARDINES DEL NILO,HERNANDO ALVARA,3254,44860,Guadalajara,"HERNANDO ALVARA 3254, JARDINES DEL NILO, Guadalajara",20.6437163,-103.2937008
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,"HACIENDA DE TAL 2191, OBLATOS PONIENTE, Guadalajara",20.692611,-103.2984039
MEZQUITAN COUNTRY,DIAGONAL NAJERA,1876,44260,Guadalajara,"DIAGONAL NAJERA 1876, MEZQUITAN COUNTRY, Guadalajara",20.69196018,-103.3647616
RINCONADA DEL BOSQUE,AV ECONOMOS,6951,44510,Guadalajara,"AV ECONOMOS 6951, RINCONADA DEL BOSQUE, Guadalajara",20.65605164,-103.39377594
TETLAN,JOSE RAMOS,4342,44820,Guadalajara,"JOSE RAMOS 4342, TETLAN, Guadalajara",20.6609958,-103.2714154
HERMOSA PROVIN ZO TE,TELEFONISTAS,3331,44770,Guadalajara,"TELEFONISTAS 3331, HERMOSA PROVIN ZO TE, Guadalajara",20.6684139,-103.2855688
ARTESANOS,GENERAL EULOGIO,712,44200,Guadalajara,"GENERAL EULOGIO 712, ARTESANOS, Guadalajara",20.6872139,-103.3505809
COUNTRY CLUB,AV JORGE ALVARE,1535,44610,Guadalajara,"AV JORGE ALVARE 1535, COUNTRY CLUB, Guadalajara",20.7037391,-103.3652489
DIVISION DEL NORTE,SILVINA REMBOA,3050,44230,Guadalajara,"SILVINA REMBOA 3050, DIVISION DEL NORTE, Guadalajara",20.7241509,-103.3374218
BOSQUES D L VICTORIA,PENINSULA,2713,44540,Guadalajara,"PENINSULA 2713, BOSQUES D L VICTORIA, Guadalajara",20.6458589,-103.3923679
OBLATOS,BATALLA DE IZUC,2508,44700,Guadalajara,"BATALLA DE IZUC 2508, OBLATOS, Guadalajara",20.698347,-103.288479
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,"VOLCAN FUJIYAMA 4413, HUENTITAN EL BAJO, Guadalajara",20.738969,-103.3189689
HUENTITAN EL BAJO,VOLCAN VIRGEN,182,44250,Guadalajara,"VOLCAN VIRGEN 182, HUENTITAN EL BAJO, Guadalajara",20.7305924,-103.316844
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,"PUERTO SOTO LA 2280, SAN VICENTE, Guadalajara",20.7045566,-103.314453
MARAVILLA,SANTA JULIA,1334,44700,Guadalajara,"SANTA JULIA 1334, MARAVILLA, Guadalajara",20.6971499,-103.3048029
ZALATE II,OTILIO GONZALEZ,1116,44760,Guadalajara,"OTILIO GONZALEZ 1116, ZALATE II, Guadalajara",20.679092,-103.2750349
RNDA DE PAZ,ALBANILES,543,44860,Guadalajara,"ALBANILES 543, RNDA DE PAZ, Guadalajara",20.64808,-103.307708
LA CAMPESINA,JOSE MARIA SARM,1488,44769,Guadalajara,"JOSE MARIA SARM 1488, LA CAMPESINA, Guadalajara",20.67862979,-103.27356507
AMERICANA,COLONIAS,221,44160,Guadalajara,"COLONIAS 221, AMERICANA, Guadalajara",20.6727475,-103.3659644
TRANSITO,AV CIRCUNVALANC,479,44298,Guadalajara,"AV CIRCUNVALANC 479, TRANSITO, Guadalajara",20.7038709,-103.3370089
SAN ANDRES,CALLE B,165,44810,Guadalajara,"CALLE B 165, SAN ANDRES, Guadalajara",20.68627928,-103.26576928
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,"MANUEL RIVERA C 2818, JARDINES DEL NILO, Guadalajara",20.6459499,-103.3015471
ECHEVERRIA,JOSE ROJO,958,44970,Guadalajara,"JOSE ROJO 958, ECHEVERRIA, Guadalajara",20.62216715,-103.36095184
U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,"JAIME TORRES B 3090, U H EL SAUZ INF, Guadalajara",20.623719,-103.3945749
AYUNTAMIENTO,BERNARDO DE BAL,1170,44620,Guadalajara,"BERNARDO DE BAL 1170, AYUNTAMIENTO, Guadalajara",20.695428,-103.369627
JARDINES DE STA ISAB,COMBATE DE SACR,228,44300,Guadalajara,"COMBATE DE SACR 228, JARDINES DE STA ISAB, Guadalajara",20.716095,-103.314819
PARQUE REVOLUCION,AV MIGUEL HIDAL,469,44100,Guadalajara,"AV MIGUEL HIDAL 469, PARQUE REVOLUCION, Guadalajara",20.679603,-103.350983
ZONA INDUSTRIAL SUR,CALLE 16,2526,44940,Guadalajara,"CALLE 16 2526, ZONA INDUSTRIAL SUR, Guadalajara",20.6412259,-103.35947148
VILLA VICENTE GUERRE,ISLA USTICA,3318,44860,Guadalajara,"ISLA USTICA 3318, VILLA VICENTE GUERRE, Guadalajara",20.632482,-103.395812
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,"TUCIDIDES 156, VALLARTA SAN JORGE, Guadalajara",20.678198,-103.3960161
OBLATOS PONIENTE,HDA LAS CRUCES,2158,44700,Guadalajara,"HDA LAS CRUCES 2158, OBLATOS PONIENTE, Guadalajara",20.69361,-103.2988478
OBLATOS PONIENTE,HACIENDA LA PUR,2415,44700,Guadalajara,"HACIENDA LA PUR 2415, OBLATOS PONIENTE, Guadalajara",20.701229,-103.2951931
MORELOS,CISNE,1332,44910,Guadalajara,"CISNE 1332, MORELOS, Guadalajara",20.6543829,-103.359092
JARDINES DEL COUNTRY,ENRIQUE DIAZ DE,2336,44210,Guadalajara,"ENRIQUE DIAZ DE 2336, JARDINES DEL COUNTRY, Guadalajara",20.712932,-103.360833
TETLAN,AURELIA GUEVARA,3518,44820,Guadalajara,"AURELIA GUEVARA 3518, TETLAN, Guadalajara",20.6555499,-103.2887908
SAN CARLOS,LOS ANGELES,171,44460,Guadalajara,"LOS ANGELES 171, SAN CARLOS, Guadalajara",20.662959,-103.344124
LOMAS DE POLANCO,JOSE CARRILLO,3528,44960,Guadalajara,"JOSE CARRILLO 3528, LOMAS DE POLANCO, Guadalajara",20.6307235,-103.3795677
VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,"EUCLIDES 3302, VALLARTA SAN JORGE, Guadalajara",20.6751303,-103.3983219
U H LAZARO CARDENAS,OTHON BLANCO CA,4087,44490,Guadalajara,"OTHON BLANCO CA 4087, U H LAZARO CARDENAS, Guadalajara",20.6213652,-103.3783249
BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,"FAUNA 2765, BOSQUES D L VICTORIA, Guadalajara",20.644029,-103.388121
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,"JOSE ARTEAGA 2985, ECHEVERRIA, Guadalajara",20.6256719,-103.366909
5 DE MAYO,RAMON MARQUEZ,362,44970,Guadalajara,"RAMON MARQUEZ 362, 5 DE MAYO, Guadalajara",20.6248619,-103.3530199
U. H. BENITO JUAREZ II,CREDITO,4049,44770,Guadalajara,"CREDITO 4049, U. H. BENITO JUAREZ II, Guadalajara",20.6661078,-103.2755658
DIVISION DEL NORTE,BENEDICTO LOPEZ,399,44230,Guadalajara,"BENEDICTO LOPEZ 399, DIVISION DEL NORTE, Guadalajara",20.7236763,-103.3371782
HIGUERILLAS,MARIANO RODRIGU,2669,44470,Guadalajara,"MARIANO RODRIGU 2669, HIGUERILLAS, Guadalajara",20.632835,-103.349006
BARRANQUITAS,PINO SUAREZ,879,44270,Guadalajara,"PINO SUAREZ 879, BARRANQUITAS, Guadalajara",20.6901934,-103.346581
ARANDAS,HACIENDA DEL CO,3363,44720,Guadalajara,"HACIENDA DEL CO 3363, ARANDAS, Guadalajara",20.69041905,-103.28173759
HELIODORO HERNANDEZ,MIGUEL SANCHEZ,3789,44720,Guadalajara,"MIGUEL SANCHEZ 3789, HELIODORO HERNANDEZ, Guadalajara",20.6948729,-103.278313
JARDINES DE LA CRUZ,AV ISALA RAZA,2460,44950,Guadalajara,"AV ISALA RAZA 2460, JARDINES DE LA CRUZ, Guadalajara",20.634922,-103.391242
DEL FRESNO,CIPRES,1738,44900,Guadalajara,"CIPRES 1738, DEL FRESNO, Guadalajara",20.6579289,-103.3661019
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,"AVENIDA AMERICA 620, LADRON DE GUEVARA, Guadalajara",20.6874428,-103.3731335
FEDERALISMO,MONTE HIMALAYA,1416,44350,Guadalajara,"MONTE HIMALAYA 1416, FEDERALISMO, Guadalajara",20.691592,-103.317129
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,"FRANCISCO MARCO 2616, EL CARMEN, Guadalajara",20.6231889,-103.3850919
U H ATLAS,RIO VOLGA,1386,44870,Guadalajara,"RIO VOLGA 1386, U H ATLAS, Guadalajara",20.6505549,-103.330706
CANTARRANAS,MIGUEL BERNAL,3327,44829,Guadalajara,"MIGUEL BERNAL 3327, CANTARRANAS, Guadalajara",20.65865637,-103.2906591
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,"SANTO TOMAS 1786, TALPITA, Guadalajara",20.68355178,-103.31008927
MIRAVALLE,MAURICIO CAMPOS,512,44990,Guadalajara,"MAURICIO CAMPOS 512, MIRAVALLE, Guadalajara",20.6094738,-103.3478201
LOMAS DE RIO VERDE,DEMOSTENES,3550,44720,Guadalajara,"DEMOSTENES 3550, LOMAS DE RIO VERDE, Guadalajara",20.68517129,-103.28554658
SAN RAFAEL,CARLOS GONZALEZ,280,44810,Guadalajara,"CARLOS GONZALEZ 280, SAN RAFAEL, Guadalajara",20.6571099,-103.2966291
JARDINES DE LA CRUZ,REYES CATOLICOS,2151,44950,Guadalajara,"REYES CATOLICOS 2151, JARDINES DE LA CRUZ, Guadalajara",20.64629179,-103.37634047
OBLATOS PONIENTE,HACIENDA LA GAV,3208,44700,Guadalajara,"HACIENDA LA GAV 3208, OBLATOS PONIENTE, Guadalajara",20.70194403,-103.28288184
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,"FELIX BERNARDEL 428, SAN JUAN BOSCO, Guadalajara",20.6690339,-103.3025698
18 DE MARZO,NATIVIDAD MACIA,1326,44960,Guadalajara,"NATIVIDAD MACIA 1326, 18 DE MARZO, Guadalajara",20.6332169,-103.3695316
VALENTIN GOMEZ FARIA,JUAN DE DIOS CO,12,44977,Guadalajara,"JUAN DE DIOS CO 12, VALENTIN GOMEZ FARIA, Guadalajara",20.6166636,-103.36543282
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,"JOSE FERNANDEZ 1123, U H EL ZALATE, Guadalajara",20.6790637,-103.2732273
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,"AVELINO M PRESA 3335, SAN ANDRES, Guadalajara",20.661081,-103.2907359
LA ESPERANZA,IGUALDAD,186,44300,Guadalajara,"IGUALDAD 186, LA ESPERANZA, Guadalajara",20.7098839,-103.319677
LOMAS DE MIRAMAR,URANIO,31,45060,Zapopan,"URANIO 31, LOMAS DE MIRAMAR, Zapopan",20.64202975,-103.46426675
LA FLORESTA DEL COLLI,BOULEVARD PUERT,26,45116,Zapopan,"BOULEVARD PUERT 26, LA FLORESTA DEL COLLI, Zapopan",20.70902792,-103.41388692
EL FORTIN,ALAMO,1359,45066,Zapopan,"ALAMO 1359, EL FORTIN, Zapopan",20.6469306,-103.4548918
FRACC CUSPIDE,VALLE DE TESIST,198,45200,Zapopan,"VALLE DE TESIST 198, FRACC CUSPIDE, Zapopan",20.795812,-103.4822218
VIGIA I,HERRADURA,242,45140,Zapopan,"HERRADURA 242, VIGIA I, Zapopan",20.7327233,-103.3938158
LOMAS DE MIRAMAR,PUERTO CHAMELA,314,45060,Zapopan,"PUERTO CHAMELA 314, LOMAS DE MIRAMAR, Zapopan",20.63579117,-103.44676658
MIRAMAR,BAHIA MAGDALENA,5,45060,Zapopan,"BAHIA MAGDALENA 5, MIRAMAR, Zapopan",20.6407449,-103.4490608
LA MOJONERA,DE BARAJAS,425,45134,Zapopan,"DE BARAJAS 425, LA MOJONERA, Zapopan",20.78831785,-103.45075595
VILLA FONTANA DIAMANTE,FUENTE BRILLANT,1730,45200,Zapopan,"FUENTE BRILLANT 1730, VILLA FONTANA DIAMANTE, Zapopan",20.7737514,-103.4720222
RESIDENCIAL TESISTAN,PARQUE MEXICANO,150,45200,Zapopan,"PARQUE MEXICANO 150, RESIDENCIAL TESISTAN, Zapopan",20.665307,-103.40409989
RESIDENCIAL GUADALUP,MISION SAN PATR,350,45030,Zapopan,"MISION SAN PATR 350, RESIDENCIAL GUADALUP, Zapopan",20.6538728,-103.4331985
LA FLORIDA,FLORAL,15,45234,Zapopan,"FLORAL 15, LA FLORIDA, Zapopan",20.5997014,-103.4273219
BENITO JUAREZ,ADOLFO LOPEZ MA,4754,45199,Zapopan,"ADOLFO LOPEZ MA 4754, BENITO JUAREZ, Zapopan",20.79533048,-103.5005241
ALTAMIRA,AV AMERICA,580,45160,Zapopan,"AV AMERICA 580, ALTAMIRA, Zapopan",20.7170404,-103.3886043
PRADOS  GUADALUPE,G ROSSINI,428,45030,Zapopan,"G ROSSINI 428, PRADOS  GUADALUPE, Zapopan",20.6686337,-103.4349976
FRACC PALERMO,MARINA,204,45200,Zapopan,"MARINA 204, FRACC PALERMO, Zapopan",20.81616775,-103.460718
VALLE REAL,AV RAMON CORONA,2748,45019,Zapopan,"AV RAMON CORONA 2748, VALLE REAL, Zapopan",20.735422,-103.459965
VISTA HERMOSA,VISTA BONITA,739,45189,Zapopan,"VISTA BONITA 739, VISTA HERMOSA, Zapopan",20.762084,-103.334313
CANTEROS,PRIVADA CANTERO,1564,45190,Zapopan,"PRIVADA CANTERO 1564, CANTEROS, Zapopan",20.727049,-103.338664
COLINAS D LA PRIMAVE,CASCADA,147,45066,Zapopan,"CASCADA 147, COLINAS D LA PRIMAVE, Zapopan",20.637151,-103.4700562
CAMPO REAL,AV CAMPO REAL P,353,45134,Zapopan,"AV CAMPO REAL P 353, CAMPO REAL, Zapopan",20.78893521,-103.44364777
PARAISOS DEL COLLY,GALEANA,1068,45069,Zapopan,"GALEANA 1068, PARAISOS DEL COLLY, Zapopan",20.6508438,-103.4542078
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,Zapopan,"PRIV LUIS G MON 337, VILLAS SAN IGNACIO, Zapopan",20.73366544,-103.35291841
PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,Zapopan,"PASEOS DE LOS I 1, PASEOS DEL BRISE#O, Zapopan",20.618144,-103.434739
VILLA UNIVESITARIA,AV PATRIA,1446,45110,Zapopan,"AV PATRIA 1446, VILLA UNIVESITARIA, Zapopan",20.6974505,-103.4156311
JARDINES DEL VERGEL,JARDIN DE NARDO,1527,45180,Zapopan,"JARDIN DE NARDO 1527, JARDINES DEL VERGEL, Zapopan",20.7437494,-103.3705966
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,Zapopan,"PASEO DE LA VIC 4952, BUGAMBILIAS, Zapopan",20.60869227,-103.47949598
UNIDAD JARDINES SEAT,JARDINES DE LOS,1233,45180,Zapopan,"JARDINES DE LOS 1233, UNIDAD JARDINES SEAT, Zapopan",20.7511529,-103.36893085
