,colony,street,street_number,postal_code,zone,directions,lat,lon
127,HELIODORO HERNANDEZ,MIGUEL SANCHEZ,3789,44720,Guadalajara,"MIGUEL SANCHEZ 3789, HELIODORO HERNANDEZ, Guadalajara",20.6948729,-103.278313
261,COLLY SITIO,ROMANA,6570,45036,Zapopan,"ROMANA 6570, COLLY SITIO, Zapopan",20.65393358,-103.4396834
33,HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,"VOLCAN MAIPO 340, HUENTITAN EL BAJO, Guadalajara",20.7417459,-103.3154301
65,1RO DE MAYO 1A SECCI,CARLOS A CARRIL,527,44970,Guadalajara,"CARLOS A CARRIL 527, 1RO DE MAYO 1A SECCI, Guadalajara",20.6230026,-103.3552397
80,JARDINES DEL NILO,HERNANDO ALVARA,3254,44860,Guadalajara,"HERNANDO ALVARA 3254, JARDINES DEL NILO, Guadalajara",20.6437163,-103.2937008
202,"FRACC, LOS MOLINOS",PLATA,70,45200,Zapopan,"PLATA 70, FRACC, LOS MOLINOS, Zapopan",20.84836438,-103.42263338
257,PARQUES DE ZAPOPAN,OPALO,14,45138,Zapopan,"OPALO 14, PARQUES DE ZAPOPAN, Zapopan",20.7473862,-103.4188519
212,PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,Zapopan,"PRADO DE LAS GA 4468, PRADOS TEPEYAC, Zapopan",20.654827,-103.413214
107,ZONA INDUSTRIAL SUR,CALLE 16,2526,44940,Guadalajara,"CALLE 16 2526, ZONA INDUSTRIAL SUR, Guadalajara",20.6412259,-103.35947148
182,SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,Zapopan,"MIGUEL MIRAMON 13, SAN JUAN DE OCOTAN, Zapopan",20.764462,-103.452206
272,12 DE DICIEMBRE,TRUENO,260,45068,Zapopan,"TRUENO 260, 12 DE DICIEMBRE, Zapopan",20.6491888,-103.457067
66,BALCONES DE OBLATOS,ROSA RODRIGUEZ,3876,44720,Guadalajara,"ROSA RODRIGUEZ 3876, BALCONES DE OBLATOS, Guadalajara",20.6952319,-103.2769238
64,PARQUE INDUST EL ALA,FUNDICION,2131,44490,Guadalajara,"FUNDICION 2131, PARQUE INDUST EL ALA, Guadalajara",20.6266889,-103.3338499
249,FRACC REAL DEL BOSQUE,BERROCAL,449,45130,Zapopan,"BERROCAL 449, FRACC REAL DEL BOSQUE, Zapopan",20.7461139,-103.3969141
119,BOSQUES D L VICTORIA,FAUNA,2765,44540,Guadalajara,"FAUNA 2765, BOSQUES D L VICTORIA, Guadalajara",20.644029,-103.388121
270,RESIDENC LA ESTANCIA,WOLFANG AMADEUS,5552,45030,Zapopan,"WOLFANG AMADEUS 5552, RESIDENC LA ESTANCIA, Zapopan",20.6731122,-103.431709
92,HUENTITAN EL BAJO,VOLCAN VIRGEN,182,44250,Guadalajara,"VOLCAN VIRGEN 182, HUENTITAN EL BAJO, Guadalajara",20.7305924,-103.316844
209,FRACC JARDINES DE BELEN,TORONJA,41,45200,Zapopan,"TORONJA 41, FRACC JARDINES DE BELEN, Zapopan",20.8124,-103.4826
170,PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,Zapopan,"PASEOS DE LOS I 1, PASEOS DEL BRISE#O, Zapopan",20.618144,-103.434739
42,EL CENTRO,JUAREZ,400,44100,Guadalajara,"JUAREZ 400, EL CENTRO, Guadalajara",20.6751683,-103.348691
267,MIGUEL HIDALGO,15 DE SEPTIEMBR,3017,45186,Zapopan,"15 DE SEPTIEMBR 3017, MIGUEL HIDALGO, Zapopan",20.748896,-103.340873
17,LA PERLA,PEDRO LANDAZURI,733,44360,Guadalajara,"PEDRO LANDAZURI 733, LA PERLA, Guadalajara",20.682905,-103.33238
125,BARRANQUITAS,PINO SUAREZ,879,44270,Guadalajara,"PINO SUAREZ 879, BARRANQUITAS, Guadalajara",20.6901934,-103.346581
240,FRACC CUSPIDE,CAMINO AL POTRE,1200,45200,Zapopan,"CAMINO AL POTRE 1200, FRACC CUSPIDE, Zapopan",20.802884,-103.4970855
151,VIGIA I,HERRADURA,242,45140,Zapopan,"HERRADURA 242, VIGIA I, Zapopan",20.7327233,-103.3938158
